Fon,French,polarity
ahwangán,militaire,0
ahwangbomɛ,attaque armée,0
ahwangɔnù,groupe guerriers,0
ahwànhŭn,navire guerre,0
ahwànhŭn,avion militaire,0
ahwanhúngán,officier,0
ahwanwù,tenue militaire,0
ahwɛmú,fraîche,0
ahɔnká,boîte crânienne,0
ahɔnmɛlalà,scolopendre,0
ajakà,souris,0
ajakaja,souricière,0
ajakaví,souriceau,0
ajalalasá,salle de rassemblement,0
ajalalazén,jarre trouée,0
ajaxwí,passoire,0
vìjìjì,enfantement,0
ajì,tactique de jeu,0
ajiglokwín,testicule,0
ajijá,hérisson,0
ajijá,porc-épic,0
ajijì,imprévu,-1
ajijì,subitement,-1
ajikwín,graine,0
ajinakú,eléphant,0
ajitò,planche de jeu,0
ajò,épargne,0
ajo,fraude,-1
ajo,vol,-1
ajo,arnaque,-1
ajojijà,voler,-1
ajɔnú,objet de joie,0
ajɔnŭ,marchandise,0
ajɔxanú,condiments,0
aká,grande faim,-1
akán,charbon,0
akánmú,potasse,0
akánnújì,pâte levée,0
akasá,pâte de maïs fermenté,0
aklákú,hippopotame,0
aklántà,étagère,0
aklasú,vautour,0
aklasú,charognard,0
akló,barque moderne,0
aklúzù,croix,0
aklúzulixò,chemin de croix,0
akóbá,malheur,-1
akóbá,affaire,0
akodokwín,poing,0
akpá,à côté,0
akpá,partie,0
akpà,promesse,0
akpà,vœu,0
akpà,plaie,-1
akpà,blessure,-1
akpádídó,émission de voeux,1
akpádídó,formulation de voeux,1
akpádídó,promesse,0
akpakpà,émoi,-1
akpakpà,apaisement,1
akpakpà,tressaillement,-1
akpáwle,perdrix,0
akpán,bouillie,0
akpatá,tortue,0
logozò,tortue,0
akpaví,carpe,0
akpavú,enfant prodigue,-1
akpé,brillant,1
akpé,éclatant,1
akplă,gaule,0
akpò,colère,-1
akpo,poche,0
akpodokwín,poing,-1
akpólà,sabre,0
akpomɛdukwí,mouchoir,0
akpónyagidì,homme très rusé,1
akpótín,maille de bois,0
akpɔdidó,énervements,-1
akɔjɛgbè,jour,0
akɔmlámlá,louanges,1
akɔnyinyi,pari,0
akɔta,tribu,0
akɔta,peuple,0
akɔwé,lettré,1
alàká,joue,0
alànnŭ,infamie,-1
alànnúwíwa,commettre des méchancetés,-1
alasí,enquête,0
alasídídó,enquête,0
alasídídó,demande de renseignements,0
alì,chemin,0
aliklán,carrefour,0
alĭn,foie,0
alĭn,houe,0
alĭn,bêche,0
alinkàn,ceinture,0
alisá,plaisanterie,1
alisátɛn,endroit de relaxation,1
alisátɛn,endroit de repos,1
alisáxó,plaisanterie,1
alita,sur le chemin,0
alitanù,outils de voyages,0
alitasìn,eau du voyageur,0
alixíxá,chemin tortueux,-1
alixò,le chemin,0
alixosì,nom fille,0
alò,cure-dents,0
alŏ,ou bien,0
alŏkàn,téléphone,0
alomà,plante amère,0
alɔbá,plastique,0
alɔdidó,secours,1
alɔdó,secours,1
alɔdudó,secours,1
alɔfún,poils des bras,0
alɔgàn,montre,0
alɔganví,bague,0
alɔganví,anneau,0
alɔgbá,bredouille,0
alɔgogwè,poignée,0
alɔgólìgŏlì,le,0
alɔjí,à portée,0
alɔkpákpá,paume des mains,0
alɔkpalɔkpà,différentes sortes,0
alɔkpalɔkpà,différentes manières,0
alɔkpalɔkpà,différents types,0
alɔkpáxwì,creux,0
alɔkpénùjí,pouvoir,0
alɔmawlíví,enfant illégitime,-1
alɔvíɖòtoé,auriculaire,0
alɔwlísì,femme mariée chrétiennement,0
alɔwliwlí,mariage chrétien catholique,0
alɔɖómɛjí,avoir du support,1
alɔɖómɛjí,avoir la main sur soi,1
alɔɖótè,être prêt,0
alɛxò,incantations,-1
amăgàtín,manguier,0
amágavivó,mangue mûre,1
jakpatà,vipère,-1
amasìn,la tisanne,1
amasìn,remède,1
amasìn,médicament,1
amasinnú,médicament,1
amasinslă,purgatif,0
amasinxwé,pharmacie,
amì,huile,0
amidàn,couleuvre,0
amifún,ecume palme,0
amigbá,bidon d'huile,0
amijá,résidu de palme,0
amisin,morve,-1
amŭ,moustique,0
anɔblanú,soutien-gorge,0
anɔkwín,jeune sein,0
anɔnùvínú,mamelon,0
anɔvínú,mamelon,0
anɔsín,lait,0
anɔwlinú,soutien-gorge,0
anɔwlíwú,soutien-gorge,0
anɔɖíɖé,sevrage,0
apóstolù,apôtre,0
aságá,enjambée,0
asì,epouse,0
asibyɔnú,la dot,1
asidida,mariage,1
asigegédídá,polygamie,0
asigegéɖíɖó,polygamie,0
asísì,co-épouse,0
asú,epoux,0
asúdídáhwénú,femme,0
asúká,courageux,1
asúsì,femme d'un mari polygame,0
atá,haricots fris,0
atagán,oncle ainé du père,0
atakín,piment,0
takín,piment,0
atakíngò,bouteille à piment,0
atakínsín,liquide pimentée,0
atakínsótó,boisson à piment,0
atakún,poivre,0
atán,salive,0
atàn,vin palme,0
atángbán,crachoir,0
atangò,vin de palme,0
ataví,oncle,0
atín,arbre,0
atínfló,ecorce,0
atínkàn,liane,
atínkwín,graine,0
atínmá,feuillage,0
atínsá,sous l'arbre,0
atínsìn,sève,0
atínta,la souche,
atíntanu,la souche,
atínví,bûchette,
atínvíyɔywɛ,brindille,0
atínvú,arbuste,0
atoké,chauve-souris,0
avajà,terasse,0
avaligbé,pâturage,0
avĭ,pleurs,-1
avĭ,larmes,0
avĭhàn,chant de tristesse,0
avilelé,pleurs de souffrance,-1
avivì,frayeur extrême,-1
avivɔfún,chaire de poule,0
avivɔgblénú,fébrifuge,
avivɔhwenu,saison froide,1
avivɔsùn,mois,0
aviyaviyà,pleurnichements,-1
aviyiyà,pleurs,-1
avoká,avocat,0
avɔfɔkpà,pantoufle,0
avɔfɔkpà,espadrille,0
avɔkàn,fil de pagne,0
avɔkàn,coton,0
avɔkanfún,ouate,0
avɔkanfúntín,cotonnier,0
avɔkanɖíɖé,récolte du coton,1
avɔkíjà,guenille,
avɔkpó,pièce,0
avɔkpò,tissu,0
avɔlinlɔn,tissage,0
avɔlinlɔn,tricotage,0
avɔlɔnnú,métier à tissu,0
avɔnuvínu,extrémité du pagne,0
avɔnyinya,blanchissage,0
avɔtitɔ,couture,0
avɔvunvún,guenille,0
avɔwlanwlan,tissu rayé plusieurs couleurs,0
awà,bras,0
awă,joie,1
awăjíjè,enjaillement,1
awakanmɛkú,découragement,-1
awàságbè,ecureuil,0
awaɖonú,motif de joie,1
awífínfán,miaulement,0
awii,chat,0
awiisí,chatte,0
awĭnyà,pierre,0
awĭnyà,caillou,0
awìví,chaton,0
awlinmɛnú,hypocrisie,-1
awŏvì,démon,-1
awŏvì,mal,-1
awŏvì,tentateur,0
awŏvì,malheur,-1
awù,habit,0
awù,vêtement,0
awugbó,bouton,0
awùkíjà,guenille,
awuvúnvún,guenille,
awɔnlìn,nigeria,0
awɔnnu,museau,0
awɔnnufún,barbe,0
awɔnnután,moustache,0
awɔntín,nez,0
axáywé,gari très fin,0
axì,marché,0
axijijɛ,jour du marché,0
axitó,les abords du marché,0
axixwlégánnú,faire le marché,1
axó,cri,0
axoáɖì,ainsi soit-il,0
axwá,cri,0
axwá,appel au secours,-1
axwálokwété,tourterelle,0
ayá,peigne,0
ayì,pensées,0
ayì,esprit,0
ayì,idée,0
ayĭkùgban,terre,0
ayididá,mesquinerie,-1
ayidindán,coeur troublé,-1
ayìdìndán,tremblement de terre,-1
ayidò,trou dans la terre,0
ayiglaglá,audace,0
ayiglaglá,hardiesse,
ayìhizihízí,diffamation,-1
ayìhizihízí,dissimulation,0
ayìhizihízínɔn,diffamateur,-1
ayìhizihízínɔn,dissimulateur,0
ayihún,jeu,1
ayihún,divertissement,1
ayihún,chemin terre,0
ayihún,véhicule terrestre,0
ayihúndá,jeu,0
ayihúndá,plaisanterie,1
ayihúndánu,jouet,1
ayihunxó,plaisanterie,1
ayihunxó,blague,1
ayijàyĭ,paix,1
ayijàyĭ,sérénité,1
ayijɛdò,paix,1
ayijɛdò,confiance,1
ayikàn,artère,0
ayikàn,feuilles après récolte,0
ayikún,haricots,0
ayikún,fève,0
ayìkúngban,terre,0
ayikúnkpínkpán,purée,0
ayimajɛdò,inquiétude,-1
ayimajɛdò,angoisse,-1
ayìsúndò,caniveau,0
ayìsúndò,égout,0
ayisɔnmɔ,la fois passée,0
ayisɔnmɔ,récemment,0
ayisɔnmɔ,dernièrement,0
ayixà,réflexion,1
ayixà,esprit,0
ayìzízá,balayage,1
ayiɖagbeɖiɖó,esprit de bonté,1
ayìɖóhwɛɖó,arc-en-ciel,0
ayomà,oignon,0
ayomása,oignon,0
ayɔnù,yoruba,0
azadodó,chéchia,0
azají,grenier,0
azănɖókpo,un jour,0
azànɖíɖó,délai,0
azavà,paillote,0
azĕ,maléfice,-1
azĕ,sorcellerie,-1
azĕ,magie noire,-1
azé,maléfice,-1
azé,sorcellerie,-1
azé,magie noire,-1
azĕtɔ,sorcier,-1
azétô,sorcier,-1
aziín,arachide,0
aziínfíntín,moutarde,0
aziínfló,peau d'arachide,0
aziinmí,huile d'arachide,0
aziínmimɛ,arachide grillée,0
aziínsísɔ,arachide grillée,0
aziínsusɔ,arachide grillée,0
aziíntófó,arachide vide,0
aziíntófwé,arachide vide,0
azìn,oeuf,0
azinfifɛ,arachide grillée,0
azinkpò,chaise,0
azizà,génie,0
azizɔ,fumée,0
azizɔ,vapeur,0
azizɔ,nuage,0
azizɔlì,cheminée,0
azwì,lièvre,0
azwì,lapin,0
azwiví,lapineau,0
azɔ,travail,1
azɔbatɔ,chercheur de travail,0
azɔfúngbá,tabatière,0
azɔfúnfún,fumer,0
azɔgba,boîte à tabac,0
azɔlì,cheminée,0
azɔngbigbɔ,guérison,1
azɔngblemá,plante médicinale,1
azɔngblemaá,plante médicinale,1
azɔngblenú,remède,1
azɔngbó,pamplemousse,0
azɔngɔgwè,sapotille,
azɔnjijɛ,tomber malade,-1
azɔnkatikatì,tétanos,-1
azɔnunu,fumer,-1
azɔnví,enfant maladif,-1
azɔwanú,outil de travail,0
azɔɖuɖu,tabac à chiquer,-1
aɖawùn,ornement,1
aɖawùn,originalité,1
aɖawùn,extraordinaire,1
aɖawùnɖíɖó,ornementation,1
aɖawùnɖíɖó,belle oeuvre,1
aɖĭ,savon,0
aɖidán,très venimeux,-1
aɖìfún,mousse de savon,0
aɖìgá,flèche empoisonnée,-1
aɖìhún,contre-poison,1
aɖìká,boîte à savon,0
aɖimú,ordalie,
aɖimɛví,enfant chéri,1
aɖísí,droite,0
aɖisimin,côté droit,0
aɖiví,enfant chéri,1
aɖò,urine,0
aɖŭ,dents,0
aɖùgánnú,aiguiser les dents,0
aɖukanɖukàn,grincement de dents,0
aɖùkún,grincement dents,0
aɖùkúnɖúɖú,grincement dents,0
aɖùsó,molaire,0
aɖùsúnsún,perte des dents,-1
aɖɔtwé,vessie,0
aɖɔwé,héron,0
adanxo,brutalité,-1
adɔgo ɖaxo,gros ventre,0
agban kpikpεn,valises lourdes,0
agban kpikpεn lε,les valises lourdes,0
agbaza wewe,peau blanche,0
agbaza wiwi,peau noire,0
aglan,menton,0
aglan,mâchoire,0
ahan fifa,boisson fraîche,0
ahan syεnsyεn,boisson alcoolisée,0
aji,affaire,0
aji ɖagbe,bonne affaire,1
akanma,lits,0
bibɔ,une branche,0
ali gblegble,mauvaises routes,-1
ali nyi ɖokpo,il n'y pas qu'une seule voie dans,0
alɔ xixa,une crochue,0
alɔ ɖisi,droite,0
amisa,église,0
amisa,messe,0
amɔ,mais,0
amɔ,fromage,0
asi,femme,0
asicé,ma femme,0
asitché,ma femme,0
asi gege,épouses,0
asi lε,les épouses,0
asi,épouses,0
asu,mari,0
atin,arbuste épineux,0
atin ɖagbe,bon arbre,1
avɔvunvun,tissu déchirés,-1
avɔyɔyɔ,tissu neuf,1
awii atɔɔn,cinq chats,0
awii gege,plusieurs chats,0
awii lε,les chats,0
awii mitɔn,notre chat,0
awii mitɔn,votre chat,0
awii yetɔn,leur chat,0
awii ɖe,un chat,0
awii ɖe lε,quelques chats,0
awii ɖokpoɖokpo,chaque,0
awɔntin gaga,long nez,-1
awɔntin xixa,nez crochu,-1
ayixomεnyinyɔnɔ,bienfaiteur,1
ayihun gidigidi,jeux violents,-1
ayihɔngbe ɔ,le lendemain,0
ayijijε,une chute,-1
ayikungban kpikpo,une terre stérile,-1
azan gaga,longues journées,-1
azan nyanya,mauvais journées,-1
azan ɖagbe,bonnes journées,1
aziin sisɔ,arachides grillées,0
aziin ɖiɖa,arachides bouillies,0
azin ɖiɖa,oeufs bouillis,0
azinsatɔ,vendeur d'oeufs,0
azinzɔnnɔ,malade,0
azɔlε,les devoirs,-1
azɔvɔ,le travail est fini,1
azɔmεvi ajotɔ,écolier voleur,-1
azɔmεvi ɖagbe,bon écolier,1
azɔn huzu,la maladie a changé,-1
azɔnnabi,combien de fois,0
azɔn syεn,la maladie est délicate,-1
azɔn vɔ,la maladie est partie,1
azɔxɔ ayizεn,il,
aɖi,le savon,0
ablo kpεɖe à,as-tu fait peu,0
ayi bεnεε kpɔn à,es-tu déjà allé au bénin,0
byɔ eyε,demandes-lui,0
ahan,boisson,0
xɔ azin,achètes des oeufs,0
nɔ yi gbe ganji,réponds-bien,0
asanu kpεɖe à,as-tu vendu peu,0
miɖondo fongbe à,parlez-vous le fon,0
su hɔn ɔ,fermes la porte,0
tà zogbεn ɔ,allume la lampe,0
atwi tuwun à,est-ce que le connais,0
awazɔ kpεɖe à,as-tu travaillé peu,0
awà gangi à,est-ce que tu es bien arrivé,0
awà gangi à,est-ce que tu es bien arrivée,0
miwà gangi à,est-ce que vous êtes bien arrivés,0
miwà gangi à,est-ce que vous êtes bien arrivées,0
ɖo akɔnkpinkpan,aies du courage,1
aɖo cεnji à,as-tu monnaie,0
aɖo finε à,es-tu là,0
aɖo gangi à,est-ce que tu vas bien,0
aɖo kwε à,as-tu de l'argent,0
aɖo kεɖε à,es-tu en forme,0
miɖo akɔnkpinkpan,ailez du courage,1
miɖo cεnji à,avez-vous la monnaie,0
miɖo finε à,êtes-vous là,0
miɖo gangi à,est-ce que vous allez bien,0
miɖo kwε à,avez-vous de l'argent,0
miɖo kεɖε à,êtes-vous en forme,0
miɖo xwe gbe à,est-ce que vous êtes à la maison,0
aɖo xwe gbe à,est-ce que tu es à la maison,0
aɖo ɖagbe à,vas-tu bien,0
miɖo ɖagbe à,allez-vous bien,0
acε gege,pleine de grâces,1
adan xo,terreur,-1
adingban wε,ce n'est pas vrai,-1
agban kpikpεn wε,ce sont de lourds colis,-1
agban lε kpεn,les colis sont lourds,0
agbomεnu wε,originaire d'abomey,0
agbomεnu,originaire d'abomey,0
ajinaku ɔ klo,l'éléphant est gros,0
ajotɔ wε nyi,c'est un voleur,-1
ajɔ towe ɖie,voici ton cadeau,1
akɔta mitɔn lε bi,toute notre famille,0
akɔta mitɔn lε bi,toute votre famille,0
alagaa ɔ vɔ,le quai est désert,0
aligbɔntɔ lε ă,les passants sont rares,0
alɔ tɔn jlɔ ă,il est maladroit,-1
alɔ ɖe ɔ,l'autre main,0
alɔmyɔnɔ,gaucher,0
alɔvi tɔn ɖo vivε wε,sa main lui fait mal,-1
amlɔ azɔn,maladie du sommeil,-1
amlɔgɔ nɔ,somnolant,0
amɔ gbɔ sukpɔ ă,mais in n'y a pas beaucoup de moutons,-1
amɔ gege kwiji tawun,beaucoup de fromages sont très sales,-1
amɔ wε,c'est du fromage,0
nukplɔnmεtɔ,enseignant,0
nukplɔnmεtɔ,professeur,0
amɔ nukplɔnmεtɔ wε nyi,mais c'est un professeur,0
amɔ nukplɔnmεtɔ wε nyi,mais c'est un enseignant,0
tii,thé,0
amɔ wɔn bi,mais oublies tout,-1
wulεkpa hwε,salle de bain,0
étè wε zɔn bɔ,pourquoi est-ce que,0
anɔsinlinfinnɔ,lait maternel,1
asi ɖo xwe gbe,la femme est à la maison,0
asi nabi à ɖo,combien de femmes as-tu,0
asu tɔn wε,c'est son mari,0
atɔn,trois,0
atɔɔn,cinq,0
atɔngɔ,troisième,0
atɔɔngɔ,cinquième,0
avivɔ ɖo sisɔ wε,il tremble,-1
awu xoxo,vieux habit,-1
awu,habit,-1
ayihun gidigidi ɖe lε,des jeux brutaux,-1
ayihundanu mitɔn lε bi,tous nos jouets,0
ayihundanu mitɔn lε bi,tous vos jouets,0
azan su,le jour est arrivé,0
azan tantɔn gbe gudo ɔ,après huit jours,0
azan tεnwe lε ɖie,voilà les sept jours,0
azan yi atɔn,ça fait un moment,0
azan yi atɔn,ça fait un bail,0
azan yi atɔn,il y a trois jours,0
azan yɔeyɔe ɖe yi,quelques jours sont passés,0
azan ɖokpoɖokpo,chaque jour,0
azin ɖe à,il n'y a pas d'oeufs,-1
azinkpo ɔ syεn,le meuble est solide,1
azinkpo ɔ syεn,la chaise est solide,1
azinzɔnnɔ ɔ hwla,le malade est arrivé,0
azinzɔnnɔ ɔ hεn nukiko,le malade garde le sourire,1
azinzɔnnɔ ɔ ku,le malade est mort,-1
azinzɔnnɔ ɔ syεn wu,le malade reste solide,1
azinzɔnnɔ ɔ vɔ hlɔnhlɔn,le malade est faible,-1
azinzɔnnɔ ɔ ɖo jiɖe,le malade reste confiant,1
azwilan ɖe,il y a la viande de lapin,0
azɔ towe,ton travail,0
azɔ tε anɔ wa,quel travail fais-tu,0
azɔmε mitɔn klo à,votre école est-elle grande,0
azɔmε mitɔn klo à,est-ce que votre école est grande,0
azɔmεvi,écolier,0
azɔn gbɔ bi,la maladie a completement disparu,1
azɔwatɔ,ouvrier,0
azɔwatɔ alɔjijlɔnɔ,ouvrier,0
azɔxɔ,bâtiment de travail,0
azɔxɔ,classe,0
azɔxɔ wε,c'est un bâtiment de travail,0
azɔxɔ wε,c'est une classe,0
xomε ɖo vo,le ventre est vide,-1
é ɖo asi su kpɔ,il a beaucoup de femmes,0
à ɖo asi su kpɔ,tu as beaucoup de femmes,0
ùn ɖo asi su kpɔ,j'ai beaucoup de femmes,0
à ɖe jiɖe ɖo wutu tɔn à,est-ce que tu lui fais confiance,0
é gblé wu,il est blessé,-1
mi gbɔ azɔn azinzɔnnɔ ɔ,soignez le malade,1
gbɔ azɔn azinzɔnnɔ ɔ,soignes le malade,1
atinkεn,médicaments,1
mi gbɔ azɔn azinzɔnnɔ ɔ kpodo atinkεn ɖetε lε kpo,soignez le malade avec quels médicaments,0
gbɔ azɔn azinzɔnnɔ ɔ kpodo atinkεn ɖetε lε kpo,soignes le malade avec quels médicaments,0
do gɔ ɔ ɖo agboɖe,remplis la bouteille à moitié,0
mido gɔ ɔ ɖo agboɖe,remplissez la bouteille à moitié,0
hεn tɔn,sors avec,0
àhεn ɔ ànan tɔn,tu peux sortir,0
mihεn ɔ minan tɔn,vous pouvez sortir,0
àhεn ɔ hwlεn togun towe,sauve ton peuple si tu peux,1
mihεn ɔ mihwlεn togun miton,sauvez votre peuple si vous pouvez,1
mihεn ɔ mihwlεn togun miton,sauvez vos peuples si vous pouvez,1
man yovozɔn enε lε xa xɔntɔn towe lε,partages ces oranges avec tes camarades,1
mi man yovozɔn enε lε xa xɔntɔn mitɔn lε,partagez ces oranges avec vo camarades,1
éjlo wé anan man yovozɔn enε lε xa xɔntɔn towe lε à,veux-tu partager ces oranges avec tes camarades,0
éjlo mi minan man yovozɔn enε lε xa xɔntɔn mitɔn lε à,voulez-vous partager ces oranges avec vos camarades,0
atinsinsεn nyanya ɖokpo ɖo ɖagbe ɖe lε mε,il y a un mauvais bois dans les bons,-1
à mɔn akwε towe à,est-ce que tu as retrouvé ton argent,0
à mɔ jε mε à,as-tu compris,0
à mɔ nù jε mε à,as-tu compris,0
mɔ sukpɔ tobutobu ɖo xixa wε ɔ à,vois-tu le nombre de mouches qui s'attroupent,-1
gbe mε towe lε,les potes,1
gbe mε towe lε,les amis,1
hεn xasun ɔ,portes le panier,0
kpεɖe,un peu,0
kplekple,réunion,0
anan ɖo kplekple sín tεnmε à,est-ce que assisteras à réunion,0
sɔ wema xixa ɖokpo,choisis un quelque chose à lire,1
sɔ wema xixa ɖokpo,choisis un livre,1
gɔn kpo ɖɔ xo kpεɖe,viens chez moi et pourrons discuter,1
xɔ atinsinsεn ɖokpo à,paies et emmènes du bois,0
xa ɖokpo sɔ yi kanweko,comptes de un à cent,0
ɖaxo,grand,0
xa ɖaxo ɔ ji,montes sur le grand,0
rɔbu,robe,0
yi rɔbu towe kpɔn,prends ta robe,0
nɔ à,estce que fais du,0
xomε sinsin,énervement,-1
nɔ mε,restes dedans,0
kafε,café,0
a nù kafε zanzan à,as-tu pris du café le matin,0
mi nù kafε zanzan à,avez-vous pris du café le matin,0
axivivε,chereté,0
nɔ xo nɔ ɖu,achètes à manger,0
nɔ ɖamlɔ ɖɔ hwebinu,dors tout le temps,-1
nɔ ɖo wezun,cours vite,0
alokan,téléphone,0
flansegbe,français,0
doglensigbe,anglais,0
ànɔ do flansegbe wε à,parles-tu français,0
ànɔ doglensigbe wε à,parles-tu anglais,0
minɔ do flansegbe wε à,parlez-vous français,0
minɔ doglensigbe wε à,parlez-vous anglais,0
hwenuxo,conte,0
hwenuxo,histoire,0
àsé hwenuxo gudo tɔn à,as-tu entendu la dernière histoire,0
misé hwenuxo gudo tɔn à,avez-vous entendu la dernière histoire,0
àsé hwenuxo gudo tɔn à,as-tu entendu le dernier conte,0
misé hwenuxo gudo tɔn à,avez-vous entendu le dernier conte,0
ɖayi ɔ,auparavant,0
toxomε,ville,0
zemijan,taxi-moto,0
ùn sixu gɔn alɔma wli,je ne peux pas ne pas marier,0
a sixu wa aklunɔzangbe à,est-ce que tu peux venir dimanche,0
mi sixu wa aklunɔzangbe à,est-ce que tu peux venir dimanche,0
su tɔn wε,c'est son totême,0
xwegbe,maison,0
xwe gbe,maison,0
wamamɔnɔ,pauvres,-1
nukiko,que du rire,1
